Transaction_ID,Date_Time,Channel,Store_ID,SKU,Quantity,Total_Amount,Customer_ID
TXN-694550,2025-01-29T00:00:00Z,Web,WEB-000,SKU-4205,2,108.13,003JYxO6COx7t7drdF
TXN-135264,2024-03-28T00:00:00Z,Web,WEB-000,SKU-9495,1,40.42,003u4NlByGaP47giSB
TXN-480716,2025-12-08T00:00:00Z,Web,WEB-000,SKU-3133,5,181.51,003Ud7UOTafRX01gmi
TXN-973196,2024-12-24 19:00:00,Store,MAD-001,SKU-8605,3,190.94,003y4xtF6K3sgNZT0O
TXN-530629,2025-06-27 18:00:00,Store,MAD-001,SKU-2541,4,66.42,003Q4V9EBB8cJs2RzL
TXN-368836,2024-07-12 11:00:00,Store,BCN-002,SKU-3272,5,189.92,003Nwdic6YHYJrxG0I
TXN-791170,2026-01-02 19:00:00,Store,MAD-001,SKU-7807,4,31.11,003wgxxRrZ8cjaHwV3
TXN-238006,2024-04-17T00:00:00Z,Web,WEB-000,SKU-5687,2,33.78,003Gryd8QVc1eT4bGh
TXN-525670,2025-05-14T00:00:00Z,Web,WEB-000,SKU-7158,3,177.01,003Ud7UOTafRX01gmi
TXN-817303,2024-02-16 13:00:00,Store,COR-003,SKU-8042,2,20.93,0034SM6d8h03c91idB
TXN-169058,2025-12-26T00:00:00Z,Web,WEB-000,SKU-8628,2,190.31,003TGs3HYX32U95YkO
TXN-963524,2025-11-04 16:00:00,Store,MAD-001,SKU-4550,4,189.57,
TXN-696425,2024-05-06T00:00:00Z,Web,WEB-000,SKU-7274,5,41.92,003QzJiUj7WugMYujh
TXN-262138,2025-12-20T00:00:00Z,Web,WEB-000,SKU-2886,4,115.1,003HjD7q5aDgcnqs3w
TXN-735189,2025-04-25T00:00:00Z,Web,WEB-000,SKU-9702,5,44.33,
TXN-934263,2025-01-12 19:00:00,Store,BCN-002,SKU-8216,2,84.08,003Dv9BNN25l3mDwT6
TXN-289961,2024-04-16T00:00:00Z,Web,WEB-000,SKU-2922,5,81.91,003vlbrNKMmp3eRuA1
TXN-833548,2024-06-11T00:00:00Z,Web,WEB-000,SKU-8211,4,195.6,0038V9gNe05ZGfwIM8
TXN-336889,2025-07-29 14:00:00,Store,COR-003,SKU-5483,4,42.26,003zAmkn453AwDeBUm
TXN-591277,2024-06-20T00:00:00Z,Web,WEB-000,SKU-7258,5,166.51,003eAJ17A2f9EDEreP
TXN-111416,2024-04-29 13:00:00,Store,COR-003,SKU-3683,3,148.64,003nsDCPDlLIZXmBwo
TXN-390940,2025-12-13T00:00:00Z,Web,WEB-000,SKU-6636,2,94.73,003XnyACJYS9Q3af3v
TXN-884185,2025-12-31 10:00:00,Store,BCN-002,SKU-8453,3,55.08,003Iz3n2HQa3XJA2wC
TXN-249697,2025-08-12T00:00:00Z,Web,WEB-000,SKU-1948,4,57.41,003GfbHcxw3Ko9D3TS
TXN-545104,2024-12-04 17:00:00,Store,BCN-002,SKU-4283,3,133.2,003lwuptT9eH66lo6c
TXN-209913,2025-06-26 16:00:00,Store,COR-003,SKU-4728,4,27.82,0037LJGp0GnYw619AF
TXN-542661,2025-01-12 20:00:00,Store,MAD-001,SKU-2393,2,10.74,003swc1jmO6DBDYd83
TXN-560738,2024-08-17 15:00:00,Store,MAD-001,SKU-1521,2,113.1,
TXN-642950,2024-01-01 18:00:00,Store,MAD-001,SKU-2544,1,99.98,003ULUahIg62xXk6Jn
TXN-159397,2024-07-17 13:00:00,Store,COR-003,SKU-6949,1,30.69,
TXN-934352,2024-07-05T00:00:00Z,Web,WEB-000,SKU-5396,3,136.42,003plsOvN0HlKuCKrD
TXN-378521,2024-11-07 11:00:00,Store,BCN-002,SKU-6495,5,198.03,003RTnczTRT3xXvxZg
TXN-318877,2025-09-23T00:00:00Z,Web,WEB-000,SKU-2061,4,49.6,003cYePKyUQeh0Szka
TXN-270457,2024-04-16T00:00:00Z,Web,WEB-000,SKU-3832,1,77.79,00377ZsMS7iHw57PyZ
TXN-193982,2025-02-15T00:00:00Z,Web,WEB-000,SKU-5173,2,129.96,003Xo9PyntJ8PcJxBT
TXN-950371,2024-09-01 12:00:00,Store,COR-003,SKU-3408,3,196.1,
TXN-958415,2025-02-08 20:00:00,Store,BCN-002,SKU-5327,4,86.78,003jVZZiLbWnHvgSB8
TXN-164812,2024-03-30T00:00:00Z,Web,WEB-000,SKU-2737,4,127.28,003oQwcd6FyCPOQkXB
TXN-331881,2024-05-11 15:00:00,Store,BCN-002,SKU-4572,3,93.24,003Xonk6NX1ffxG2No
TXN-556164,2025-09-18T00:00:00Z,Web,WEB-000,SKU-9427,4,10.11,
TXN-665868,2025-09-23T00:00:00Z,Web,WEB-000,SKU-3374,2,52.5,003Zn9zMwsUaIFju33
TXN-356626,2025-10-14T00:00:00Z,Web,WEB-000,SKU-6099,3,172.39,0035hZVI8afRo7yoJ2
TXN-609843,2025-01-02T00:00:00Z,Web,WEB-000,SKU-3980,5,109.33,003XsVfqL4yNgDR6kG
TXN-368950,2024-06-07T00:00:00Z,Web,WEB-000,SKU-6150,5,88.18,
TXN-858523,2025-01-11T00:00:00Z,Web,WEB-000,SKU-3114,5,194.48,003BwApBSznb7OhCbG
TXN-107976,2025-12-31T00:00:00Z,Web,WEB-000,SKU-8862,4,59.5,0039wzx6Kn4dQQPsTo
TXN-868416,2025-07-23 12:00:00,Store,MAD-001,SKU-2557,4,194.34,
TXN-279632,2024-04-22 20:00:00,Store,MAD-001,SKU-4286,3,84.64,
TXN-961152,2024-07-25T00:00:00Z,Web,WEB-000,SKU-8701,4,118.9,003BqbOqgfYXH3BDTA
TXN-699295,2024-12-25 18:00:00,Store,COR-003,SKU-1675,-1,-45.87,003kcDkjmjNMbKPZrS
TXN-351217,2025-09-24 17:00:00,Store,MAD-001,SKU-1821,3,148.1,
TXN-347066,2025-08-26T00:00:00Z,Web,WEB-000,SKU-8152,1,52.02,003LKelrn3JDjJUq1k
TXN-103414,2024-01-20 10:00:00,Store,MAD-001,SKU-2042,1,130.7,
TXN-971535,2024-11-29 20:00:00,Store,COR-003,SKU-3716,-5,-194.71,
TXN-672814,2025-01-12 20:00:00,Store,MAD-001,SKU-8010,3,155.47,003hOyzcceVrFiwrNt
TXN-855008,2025-10-30 13:00:00,Store,MAD-001,SKU-4181,5,68.84,0035NS2O793IdMeuAg
TXN-393021,2024-01-11T00:00:00Z,Web,WEB-000,SKU-2481,4,145.68,003KBnNPhmfBL8457G
TXN-109572,2024-11-13T00:00:00Z,Web,WEB-000,SKU-2412,5,49.97,003Chl8i4UoAuiSNIQ
TXN-377949,2025-05-10 10:00:00,Store,BCN-002,SKU-3495,4,20.44,003G0ytfsaSGl4Ux7P
TXN-425220,2024-05-15 15:00:00,Store,BCN-002,SKU-5339,2,124.28,
TXN-195907,2025-09-10T00:00:00Z,Web,WEB-000,SKU-9281,-2,-11.05,003On6u9D9sJYuQb7E
TXN-536277,2025-05-03T00:00:00Z,Web,WEB-000,SKU-2060,2,44.36,003V5dNfhAa7Ge81aJ
TXN-385189,2025-07-20T00:00:00Z,Web,WEB-000,SKU-3535,2,27.49,003WDsreE3Kw2gzSpd
TXN-917553,2024-03-08T00:00:00Z,Web,WEB-000,SKU-3028,1,125.71,0039QLM2hvmQTrbxxv
TXN-880249,2025-04-14T00:00:00Z,Web,WEB-000,SKU-7063,5,124.6,
TXN-591757,2024-06-18 11:00:00,Store,MAD-001,SKU-5979,4,155.05,003SwEDrSHc2vfXD0w
TXN-870642,2025-05-09 12:00:00,Store,MAD-001,SKU-5584,4,12.8,
TXN-304633,2024-09-21 19:00:00,Store,COR-003,SKU-3094,3,34.71,0032riYTrmlZvbLyGd
TXN-706863,2024-11-24 18:00:00,Store,BCN-002,SKU-2070,3,46.58,003MY5MtAu0QKJGBsG
TXN-994426,2024-06-29T00:00:00Z,Web,WEB-000,SKU-6914,2,193.67,003c57ciaN3ix4EVqh
TXN-994641,2025-02-07 20:00:00,Store,MAD-001,SKU-6086,2,180.89,003QzJiUj7WugMYujh
TXN-831918,2025-12-18T00:00:00Z,Web,WEB-000,SKU-9895,3,193.1,003xBvn8IKQ0jqOnYw
TXN-516612,2025-01-30 12:00:00,Store,MAD-001,SKU-1266,1,21.56,0033AzFUaQzqt9KLs8
TXN-397261,2025-12-08 17:00:00,Store,BCN-002,SKU-4756,1,80.93,003A9eTfnu7LjHzmfr
TXN-287221,2025-08-02 14:00:00,Store,BCN-002,SKU-7584,4,152.02,003HyI2yFjwI6iz6yO
TXN-520230,2025-12-15T00:00:00Z,Web,WEB-000,SKU-7874,1,143.93,00347LDQCIyleWSV9X
TXN-509322,2024-11-22 11:00:00,Store,COR-003,SKU-9545,2,161.26,003sq5URmer42D3lvB
TXN-263085,2025-10-21T00:00:00Z,Web,WEB-000,SKU-1131,3,177.05,003H0dqrT4fbrYdH45
TXN-652236,2025-05-23 14:00:00,Store,MAD-001,SKU-8476,4,47.39,
TXN-160084,2025-12-24 10:00:00,Store,COR-003,SKU-6117,2,46.95,003BDmmmboV0SNmtRS
TXN-981128,2024-04-06T00:00:00Z,Web,WEB-000,SKU-6993,1,138.66,003XvsyZLd9zuaVX7K
TXN-600144,2025-04-30T00:00:00Z,Web,WEB-000,SKU-6927,2,29.05,
TXN-315866,2024-06-30 18:00:00,Store,BCN-002,SKU-8916,3,57.13,003hOyzcceVrFiwrNt
TXN-487264,2024-05-22T00:00:00Z,Web,WEB-000,SKU-1317,2,40.16,003r4vAglhA78GwOBR
TXN-277184,2024-01-08 11:00:00,Store,MAD-001,SKU-8192,2,69.48,0032CvvDefRNiSuMSx
TXN-927847,2025-12-12T00:00:00Z,Web,WEB-000,SKU-6131,2,19.2,003rEAPe19ASDKpEkP
TXN-449002,2024-03-27 20:00:00,Store,BCN-002,SKU-6141,2,14.11,003qAJaShrs8C0vkH8
TXN-989823,2024-08-17 14:00:00,Store,BCN-002,SKU-7807,3,163.43,003qAJaShrs8C0vkH8
TXN-173160,2025-07-15 14:00:00,Store,MAD-001,SKU-2596,4,41.7,003cVmndVj1PqDNeX4
TXN-136746,2025-11-08 16:00:00,Store,BCN-002,SKU-8518,2,121.84,003uJGiK619xFi2cFR
TXN-690861,2024-12-12 11:00:00,Store,BCN-002,SKU-7448,2,94.75,003dx95wDCVSPscadd
TXN-959774,2024-09-08T00:00:00Z,Web,WEB-000,SKU-8131,2,148.71,
TXN-400127,2024-12-30T00:00:00Z,Web,WEB-000,SKU-8752,5,147.83,003gHzNqkMR1iF8KST
TXN-469449,2024-12-17 18:00:00,Store,MAD-001,SKU-5852,5,187.72,
TXN-574443,2024-10-25 11:00:00,Store,BCN-002,SKU-5799,2,181.85,
TXN-556312,2024-04-29 11:00:00,Store,MAD-001,SKU-4491,3,21.88,003A19Qg1pgss7HCeQ
TXN-548026,2025-07-04T00:00:00Z,Web,WEB-000,SKU-7635,1,73.14,003FEYfUYs38FsDsCY
TXN-983792,2024-06-01T00:00:00Z,Web,WEB-000,SKU-5127,4,189.62,003yZ2adUiWw7IR8tA
TXN-158769,2024-09-27T00:00:00Z,Web,WEB-000,SKU-2381,1,124.66,003NmQSsW8Yliidesj
TXN-556825,2024-06-16 10:00:00,Store,COR-003,SKU-2057,1,54.97,003hyDyr58d6jrgrb1
TXN-526006,2025-03-29 14:00:00,Store,BCN-002,SKU-6030,4,158.03,003G7Tc2GnwUzpreKA
TXN-983940,2024-03-08T00:00:00Z,Web,WEB-000,SKU-8288,2,109.01,003f0Nda6fSBTJOY3e
TXN-652774,2025-02-18 15:00:00,Store,MAD-001,SKU-6293,5,176.23,003kvaY2RmhlTXjp9f
TXN-521346,2025-07-10T00:00:00Z,Web,WEB-000,SKU-4460,3,109.08,0038OwRRjTbFf9GkZX
TXN-169593,2025-11-14 19:00:00,Store,COR-003,SKU-2706,3,139.79,
TXN-352072,2024-02-08 18:00:00,Store,COR-003,SKU-5515,2,164.59,003UQ1pxFmegyeZjBt
TXN-731834,2024-08-11 18:00:00,Store,COR-003,SKU-3938,5,12.44,
TXN-658165,2024-07-21 10:00:00,Store,MAD-001,SKU-8771,5,196.83,0031XtKWaEWx8dS99t
TXN-457376,2025-04-11 14:00:00,Store,MAD-001,SKU-3082,1,168.28,
TXN-668134,2024-09-16 20:00:00,Store,BCN-002,SKU-9259,1,140.56,003CV3WbatuBp6m3de
TXN-249125,2024-02-08 10:00:00,Store,BCN-002,SKU-5962,3,91.93,
TXN-814857,2025-02-15T00:00:00Z,Web,WEB-000,SKU-7429,3,58.23,
TXN-157883,2025-02-18 19:00:00,Store,MAD-001,SKU-9307,5,48.82,003GnvZY80NdBmssYg
TXN-509579,2025-04-06 13:00:00,Store,BCN-002,SKU-3999,5,62.84,
TXN-973479,2025-01-30 20:00:00,Store,BCN-002,SKU-5135,2,121.05,003Gl2laaQRxP8RHUf
TXN-903613,2024-04-30 19:00:00,Store,MAD-001,SKU-6244,-3,-150.77,003wDs6Yrwj4dLoTwL
TXN-156973,2025-07-30 12:00:00,Store,COR-003,SKU-2915,1,118.24,
TXN-935123,2024-10-28T00:00:00Z,Web,WEB-000,SKU-3984,4,159.91,003Fl31gWp8U4QPBLF
TXN-617173,2024-12-28 13:00:00,Store,COR-003,SKU-4510,1,92.81,003T5e9NC6yzmqZkGe
TXN-406026,2024-04-17 12:00:00,Store,BCN-002,SKU-5846,4,80.49,
TXN-388185,2025-07-19 17:00:00,Store,BCN-002,SKU-7867,4,56.77,003xr5lkyVX5HBJe46
TXN-130176,2024-08-28T00:00:00Z,Web,WEB-000,SKU-1900,4,187.04,003ix3nAuWk6AliT9R
TXN-587801,2025-01-17 18:00:00,Store,COR-003,SKU-9698,1,60.52,0036EWtSZut9suxEGi
TXN-560148,2025-07-05 15:00:00,Store,COR-003,SKU-5346,-3,-135.34,0039wzx6Kn4dQQPsTo
TXN-586512,2024-12-21 16:00:00,Store,MAD-001,SKU-4473,5,196.89,003xAzGrtMEYJ4C0S5
TXN-280910,2024-02-24T00:00:00Z,Web,WEB-000,SKU-2877,1,39.92,003SwEDrSHc2vfXD0w
TXN-827410,2024-05-23T00:00:00Z,Web,WEB-000,SKU-2720,1,139.6,
TXN-361484,2024-05-10T00:00:00Z,Web,WEB-000,SKU-6357,-3,-11.16,003QynNPb4rs3u2yMx
TXN-631506,2024-02-26 10:00:00,Store,MAD-001,SKU-9776,5,152.66,0038V9gNe05ZGfwIM8
TXN-816647,2024-06-02 17:00:00,Store,COR-003,SKU-8332,3,127.44,
TXN-546899,2024-07-30T00:00:00Z,Web,WEB-000,SKU-8474,3,31.98,003Lro0Wd8OoNu9SUC
TXN-864167,2025-05-08T00:00:00Z,Web,WEB-000,SKU-5087,-5,-18.99,003DqtwYUIyp1qPAIv
TXN-776219,2024-05-03 16:00:00,Store,COR-003,SKU-9215,1,192.83,003kP9PYb6OU9jIW79
TXN-221325,2024-09-30 18:00:00,Store,COR-003,SKU-2687,2,95.52,003rQuuQhmO1uHcXGu
TXN-759137,2025-04-17T00:00:00Z,Web,WEB-000,SKU-4533,2,93.57,003eSgHa6QB5PDNc1K
TXN-698739,2025-03-07T00:00:00Z,Web,WEB-000,SKU-3644,5,91.92,
TXN-484299,2024-08-27T00:00:00Z,Web,WEB-000,SKU-9470,3,21.57,003ZDtIDMTYSIRRGUg
TXN-154934,2025-09-30 17:00:00,Store,MAD-001,SKU-2321,2,55.85,003LAiTv5rOXvHjgxC
TXN-341732,2024-11-26T00:00:00Z,Web,WEB-000,SKU-9903,3,33.31,
TXN-192368,2025-02-24 17:00:00,Store,BCN-002,SKU-3317,3,188.11,
TXN-333158,2024-02-22T00:00:00Z,Web,WEB-000,SKU-2701,2,42.96,003E6Wka00NNzBBkx2
TXN-901962,2024-06-26 10:00:00,Store,COR-003,SKU-8946,3,124.79,003va10OaOfuVYlrS0
TXN-383193,2025-03-29T00:00:00Z,Web,WEB-000,SKU-2182,4,141.46,003ZsEHPgaFsTIjJD8
TXN-811170,2025-01-16T00:00:00Z,Web,WEB-000,SKU-6677,5,105.1,003vZuinCza46EgF5i
TXN-735566,2025-05-02 14:00:00,Store,MAD-001,SKU-8045,3,25.84,
TXN-482569,2024-08-05T00:00:00Z,Web,WEB-000,SKU-9623,2,79.47,0030vLdGM8FAkNZ7tv
TXN-319974,2024-04-15T00:00:00Z,Web,WEB-000,SKU-2333,2,122.44,003CirS30oyWwL7Rdf
TXN-209748,2025-11-09 12:00:00,Store,MAD-001,SKU-4292,2,98.19,
TXN-826061,2025-09-12T00:00:00Z,Web,WEB-000,SKU-5341,3,192.75,003jPN2wCLXNXm7fMe
TXN-172929,2025-07-26 12:00:00,Store,BCN-002,SKU-4748,2,96.53,003jVZZiLbWnHvgSB8
TXN-534073,2024-06-15T00:00:00Z,Web,WEB-000,SKU-9442,3,78.98,003plsOvN0HlKuCKrD
TXN-416554,2025-01-18T00:00:00Z,Web,WEB-000,SKU-3864,5,38.44,003j1FtiRZDuzlrZZl
TXN-621836,2024-11-10T00:00:00Z,Web,WEB-000,SKU-2994,5,189.94,003Ni0N7neOqUs9X2N
TXN-947109,2024-05-06T00:00:00Z,Web,WEB-000,SKU-2314,2,151.29,0032uUK874LdC7v3ks
TXN-806541,2024-02-02 19:00:00,Store,COR-003,SKU-5317,5,174.04,003NXTPEcnrRNqLQZu
TXN-654783,2024-08-20T00:00:00Z,Web,WEB-000,SKU-7865,2,109.39,003nRlLW1VXLCQ9Z69
TXN-203941,2025-11-06T00:00:00Z,Web,WEB-000,SKU-6837,1,131.3,
TXN-665612,2025-07-03T00:00:00Z,Web,WEB-000,SKU-6025,-1,-80.29,
TXN-495535,2024-02-20 10:00:00,Store,MAD-001,SKU-7355,3,151.52,003zgixAN83MSPGLLr
TXN-774841,2025-06-05 20:00:00,Store,MAD-001,SKU-9202,4,174.77,003qDfwVEBlKtLs8FQ
TXN-483742,2025-03-20 12:00:00,Store,COR-003,SKU-3202,4,25.89,
TXN-395222,2024-01-23 11:00:00,Store,BCN-002,SKU-5431,1,31.41,003I7djCMj8d5X7pSa
TXN-803780,2025-07-13 19:00:00,Store,BCN-002,SKU-6978,3,75.09,
TXN-978276,2025-04-19 15:00:00,Store,BCN-002,SKU-4613,4,146.46,003lFwcCzLgu510dSC
TXN-648571,2025-07-28 15:00:00,Store,COR-003,SKU-6131,1,129.41,
TXN-841396,2025-04-15T00:00:00Z,Web,WEB-000,SKU-9325,3,148.25,003t905XK1EHyQX2Sk
TXN-582986,2024-01-10 17:00:00,Store,BCN-002,SKU-5611,5,182.28,003A9eTfnu7LjHzmfr
TXN-603282,2024-06-14 12:00:00,Store,COR-003,SKU-1486,1,180.57,003CZUCPDhq8olX9Rj
TXN-793362,2025-07-23T00:00:00Z,Web,WEB-000,SKU-1553,4,53.16,003yEcaEAJuxuGwDEB
TXN-554744,2024-01-02 17:00:00,Store,BCN-002,SKU-5920,5,128.22,0032riYTrmlZvbLyGd
TXN-799640,2025-09-10 16:00:00,Store,MAD-001,SKU-2750,3,115.89,003nRlLW1VXLCQ9Z69
TXN-152705,2025-02-28 15:00:00,Store,BCN-002,SKU-2403,3,146.08,003IajdfcJSRMiPbPu
TXN-815303,2025-07-29T00:00:00Z,Web,WEB-000,SKU-7008,3,199.73,003GjQA2Wpa4UCKRzp
TXN-519284,2025-06-06 20:00:00,Store,COR-003,SKU-3688,4,115.89,0034f7f5ZV1PyfygqA
TXN-815466,2024-02-13 14:00:00,Store,COR-003,SKU-5689,-1,-148.13,003sMbQV0l1vSYVBBr
TXN-410855,2025-01-16 18:00:00,Store,MAD-001,SKU-3508,1,192.78,003SA37MjFCUHwibQH
TXN-716972,2025-12-09T00:00:00Z,Web,WEB-000,SKU-3896,2,152.4,
TXN-712374,2025-06-18 17:00:00,Store,BCN-002,SKU-5012,1,118.47,0034JfCpyYs1qeNDWj
TXN-253040,2025-11-24T00:00:00Z,Web,WEB-000,SKU-5696,1,13.18,003NIgFASpNy5PnvcN
TXN-775247,2025-01-19 20:00:00,Store,COR-003,SKU-9616,5,62.32,003UZg374TTxj9W0Pf
TXN-729614,2024-07-16T00:00:00Z,Web,WEB-000,SKU-9196,1,17.24,003wl0fqv1DDpxqsgG
TXN-149202,2024-09-07T00:00:00Z,Web,WEB-000,SKU-1218,4,58.63,003wgxxRrZ8cjaHwV3
TXN-424725,2025-07-06T00:00:00Z,Web,WEB-000,SKU-8171,1,199.64,003SRdCm9yZkLKJOle
TXN-617682,2025-03-22 16:00:00,Store,BCN-002,SKU-6979,3,192.29,0035NS2O793IdMeuAg
TXN-717016,2025-10-10T00:00:00Z,Web,WEB-000,SKU-9618,3,195.13,003Mwe3i16leWiInMV
TXN-140706,2024-04-15 14:00:00,Store,COR-003,SKU-1668,4,121.85,003GGZwJJEtY6hhVb1
TXN-623907,2024-02-07 10:00:00,Store,COR-003,SKU-8984,1,84.09,003BiOk9zMMbxzq7Kn
TXN-201482,2025-08-28 15:00:00,Store,COR-003,SKU-2823,2,176.9,
TXN-821221,2024-07-24T00:00:00Z,Web,WEB-000,SKU-1796,3,150.47,
TXN-605486,2024-12-16 17:00:00,Store,BCN-002,SKU-1513,4,160.11,
TXN-996042,2025-12-24 15:00:00,Store,BCN-002,SKU-7471,4,81.81,003hraJ6QPIFbRGp0O
TXN-934607,2024-04-10T00:00:00Z,Web,WEB-000,SKU-6010,3,194.71,0031XtKWaEWx8dS99t
TXN-410494,2024-02-28T00:00:00Z,Web,WEB-000,SKU-4146,5,141.84,0032riYTrmlZvbLyGd
TXN-571161,2025-12-12T00:00:00Z,Web,WEB-000,SKU-6355,3,12.05,003sfPaHpsKMziItaI
TXN-751270,2024-03-10T00:00:00Z,Web,WEB-000,SKU-9009,5,39.85,003hCNVAEAG0dxQ8rV
TXN-648142,2024-12-26 10:00:00,Store,BCN-002,SKU-6631,1,177.9,003Q88xkNy3jOxPApt
TXN-542198,2025-04-28T00:00:00Z,Web,WEB-000,SKU-1008,3,72.11,003Dylzdy1uMPjeFIl
TXN-699419,2024-06-11 10:00:00,Store,MAD-001,SKU-5625,2,128.42,
TXN-415096,2025-12-10 12:00:00,Store,MAD-001,SKU-3040,1,107.2,003EJQx1NiGTwwqIKo
TXN-498141,2025-01-06T00:00:00Z,Web,WEB-000,SKU-6035,1,71.21,003BmMr6cZwM0qxbu9
TXN-966976,2024-09-07T00:00:00Z,Web,WEB-000,SKU-1431,2,36.91,
TXN-872645,2025-08-16T00:00:00Z,Web,WEB-000,SKU-4645,4,85.81,003SAXlNA6JTgvjgsx
TXN-277561,2024-08-30T00:00:00Z,Web,WEB-000,SKU-5185,-2,-86.36,003oQwcd6FyCPOQkXB
TXN-986732,2024-08-04T00:00:00Z,Web,WEB-000,SKU-2066,4,149.02,003NPZ4vhAaLIpjIg4
TXN-717554,2024-01-17 16:00:00,Store,BCN-002,SKU-2510,1,12.34,003LzNvoUTSorbNFwp
TXN-741183,2024-09-02 16:00:00,Store,MAD-001,SKU-8032,1,60.9,003tTu4oQtMLaDNxCU
TXN-958291,2025-12-30T00:00:00Z,Web,WEB-000,SKU-3945,2,12.13,
TXN-580415,2024-12-19 20:00:00,Store,MAD-001,SKU-5126,2,61.4,003gIdKOi5gSUUiUpl
TXN-437489,2024-01-29 18:00:00,Store,BCN-002,SKU-5297,4,129.91,0034DUbHJBpDnrA6Jq
TXN-921536,2024-11-10 10:00:00,Store,COR-003,SKU-8032,1,85.73,003MY5MtAu0QKJGBsG
TXN-950527,2025-05-21T00:00:00Z,Web,WEB-000,SKU-4972,5,75.02,003nsDCPDlLIZXmBwo
TXN-991188,2025-04-20 14:00:00,Store,BCN-002,SKU-2953,2,153.1,003UZg374TTxj9W0Pf
TXN-218407,2025-07-16 12:00:00,Store,BCN-002,SKU-7676,1,64.1,
TXN-674884,2024-11-11 12:00:00,Store,BCN-002,SKU-2977,4,131.93,003gHLpTSHslB3Ulde
TXN-954144,2024-10-04T00:00:00Z,Web,WEB-000,SKU-8152,5,69.1,003FmLgfyeW4Jj3EO2
TXN-965910,2025-08-23T00:00:00Z,Web,WEB-000,SKU-4483,5,68.73,
TXN-633551,2024-03-18 15:00:00,Store,MAD-001,SKU-5205,3,112.88,
TXN-526010,2025-11-25 14:00:00,Store,COR-003,SKU-6561,2,140.46,
TXN-131331,2024-07-10T00:00:00Z,Web,WEB-000,SKU-9734,3,106.14,003i4AcrwSUsfr3Ap8
TXN-339061,2024-09-20 15:00:00,Store,MAD-001,SKU-5071,1,17.7,003sXtJiQyK3LzFBcc
TXN-873034,2024-08-26 20:00:00,Store,MAD-001,SKU-4505,2,111.38,003jdjh77Dou8Qp2No
TXN-490757,2024-01-02T00:00:00Z,Web,WEB-000,SKU-9471,4,150.53,
TXN-440503,2025-03-29T00:00:00Z,Web,WEB-000,SKU-6667,3,98.01,003XvsyZLd9zuaVX7K
